"row_id","athlete_id","year","number_races_run","personal_record","season_record","consistency","days_since_sr","all_american"
"815",69515,2023,3,1481.4004,1481.4004,24.9532761277731,63,0
"816",69516,2023,6,1493.7022,1493.7022,54.8227233437012,7,0
"817",69519,2023,6,1520.3,1527.8038,18.5685868592524,7,0
"818",69522,2023,6,1487.7016,1487.7016,26.5822269537674,7,0
"819",69792,2023,5,1493.7018,1493.7018,38.8025881258248,35,0
"820",69793,2023,5,1510.3,1518.602,31.1690244056885,7,0
"821",70501,2023,6,1618.905,1618.905,21.1766820625516,21,0
"822",71244,2023,6,1490.402,1490.402,27.5811181338248,7,0
"823",71438,2023,6,1470.8004,1470.8004,42.843052921876,35,1
"824",71711,2023,6,1494.8023,1494.8023,55.4290612058156,7,0
"825",71714,2023,6,1554.8073,1554.8073,45.6837179771111,35,0
"826",71875,2023,5,1496.002,1496.002,14.9144184864714,7,0
"827",71877,2023,5,1494.6019,1494.6019,26.4838147015418,7,0
"828",71880,2023,6,1484.5012,1484.5012,20.7094603177775,7,0
"829",71882,2023,5,1517.4036,1517.4036,27.8244512779246,7,0
"830",71901,2023,5,1476.1008,1476.1008,43.5460516064087,7,0
"831",71917,2023,6,1490.9005,1490.9005,22.504685032286,21,0
"832",72428,2023,2,1513.8,1523.1002,2.80035000000009,36,0
"833",72429,2023,5,1431.8002,1431.8002,33.6947385424491,35,0
"834",72741,2023,5,1539.2024,1539.2024,51.6858095188128,7,0
"835",72957,2023,4,1472.3023,1472.3023,40.1327951202862,7,0
"836",73253,2023,4,1493.5008,1493.5008,28.8703956512982,7,0
"837",76414,2023,6,1479.9062,1479.9062,14.2124272551313,50,0
"838",76415,2023,6,1505.2025,1505.2025,43.0636498371236,7,0
"839",76523,2023,6,1494.3041,1494.3041,27.2325370042087,35,0
"840",76528,2023,4,1521.6014,1521.6014,23.9318734347221,7,0
"841",77720,2023,6,1499.1005,1499.1005,42.5415999647036,7,0
"842",77913,2023,6,1472.0004,1472.0004,34.9348895600087,63,0
"843",77914,2023,6,1459.8002,1459.8002,16.4160701765831,63,0
"844",77919,2023,6,1521.2017,1521.2017,17.6013852632399,63,0
"845",78826,2023,6,1496.7003,1496.7003,35.73491877191,7,0
"846",79321,2023,6,1486.9016,1486.9016,23.6914542902371,7,0
"847",79469,2023,6,1523.3045,1523.3045,27.6923521416004,56,0
"848",80209,2023,6,1495.502,1495.502,16.5576678400553,7,0
"849",80217,2023,6,1437.1003,1437.1003,29.8172385618387,35,0
"850",81112,2023,6,1501.0019,1501.0019,35.0204176733174,35,0
"851",81118,2023,6,1531.0005,1531.0005,21.3082988154944,63,0
"852",81374,2023,7,1546.5061,1546.5061,25.6508365413944,35,0
"853",81375,2023,7,1539.705,1539.705,67.4999979496954,35,0
"854",81376,2023,6,1543.1056,1543.1056,22.3962686708495,35,0
"855",83353,2023,6,1533.503,1533.503,56.6391249879568,7,0
"856",85313,2023,5,1510.5018,1510.5018,17.4363412335236,7,0
"857",85389,2023,6,1489.8017,1489.8017,21.9976958160259,7,0
"858",85391,2023,6,1539.9044,1539.9044,33.8797762486353,7,0
"859",85724,2023,6,1497.2025,1497.2025,30.1815316822324,7,0
"860",86160,2023,6,1494.3014,1494.3014,25.7849699410604,35,0
"861",86164,2023,5,1536.5061,1536.5061,37.7948587250911,7,0
"862",87400,2023,4,1478.2027,1478.2027,45.9070236716834,7,0
"863",88445,2023,5,1463.7014,1463.7014,39.5232065094622,7,0
"864",88511,2023,4,1485.7066,1485.7066,24.5890043820912,63,0
"865",88531,2023,6,1485.7014,1485.7014,37.625721550058,7,0
"866",89394,2023,6,1500.8025,1500.8025,30.9435402360313,35,0
"867",90351,2023,5,1466.8016,1466.8016,38.2392868899199,7,0
"868",93098,2023,2,1493.9014,1493.9014,53.8515499999999,7,0
